employeeId,clockIn,clockOut
11,10/8/20 7:47 AM,10/8/20 5:36 PM
11,10/9/20 7:47 AM,10/9/20 5:36 PM
11,10/10/20 7:47 AM,10/10/20 5:36 PM
11,10/11/20 7:47 AM,10/11/20 5:36 PM
11,10/12/20 7:47 AM,10/12/20 5:36 PM
11,10/13/20 7:47 AM,10/13/20 5:36 PM
11,10/14/20 7:47 AM,10/14/20 5:36 PM
11,10/15/20 7:47 AM,10/15/20 5:36 PM
11,10/16/20 7:47 AM,10/16/20 5:36 PM
11,10/17/20 7:47 AM,10/17/20 5:36 PM
11,10/18/20 7:47 AM,10/18/20 5:36 PM
11,10/19/20 7:47 AM,10/19/20 5:36 PM
11,10/20/20 7:47 AM,10/20/20 5:36 PM
12,10/6/20 7:47 AM,10/6/20 5:36 PM
12,10/7/20 7:47 AM,10/7/20 5:36 PM
12,10/8/20 7:47 AM,10/8/20 5:36 PM
12,10/9/20 7:47 AM,10/9/20 5:36 PM
12,10/10/20 7:47 AM,10/10/20 5:36 PM
12,10/11/20 7:47 AM,10/11/20 5:36 PM
12,10/12/20 7:47 AM,10/12/20 5:36 PM
12,10/13/20 7:47 AM,10/13/20 5:36 PM
12,10/14/20 7:47 AM,10/14/20 5:36 PM
12,10/15/20 7:47 AM,10/15/20 5:36 PM
12,10/16/20 7:47 AM,10/16/20 5:36 PM
12,10/17/20 7:47 AM,10/17/20 5:36 PM
12,10/18/20 7:47 AM,10/18/20 5:36 PM
12,10/19/20 7:47 AM,10/19/20 5:36 PM
12,10/20/20 7:47 AM,10/20/20 5:36 PM
13,10/6/20 7:47 AM,10/6/20 5:36 PM
13,10/7/20 7:47 AM,10/7/20 5:36 PM
13,10/8/20 7:47 AM,10/8/20 5:36 PM
13,10/9/20 7:47 AM,10/9/20 5:36 PM
13,10/10/20 7:47 AM,10/10/20 5:36 PM
13,10/11/20 7:47 AM,10/11/20 5:36 PM
13,10/12/20 7:47 AM,10/12/20 5:36 PM
13,10/13/20 7:47 AM,10/13/20 5:36 PM
13,10/14/20 7:47 AM,10/14/20 5:36 PM
13,10/15/20 7:47 AM,10/15/20 5:36 PM
13,10/16/20 7:47 AM,10/16/20 5:36 PM
13,10/17/20 7:47 AM,10/17/20 5:36 PM
13,10/18/20 7:47 AM,10/18/20 5:36 PM
13,10/19/20 7:47 AM,10/19/20 5:36 PM
13,10/20/20 7:47 AM,10/20/20 5:36 PM
14,10/6/20 7:47 AM,10/6/20 5:36 PM
14,10/7/20 7:47 AM,10/7/20 5:36 PM
14,10/8/20 7:47 AM,10/8/20 5:36 PM
14,10/9/20 7:47 AM,10/9/20 5:36 PM
14,10/10/20 7:47 AM,10/10/20 5:36 PM
14,10/11/20 7:47 AM,10/11/20 5:36 PM
14,10/12/20 7:47 AM,10/12/20 5:36 PM
14,10/13/20 7:47 AM,10/13/20 5:36 PM
14,10/14/20 7:47 AM,10/14/20 5:36 PM
14,10/15/20 7:47 AM,10/15/20 5:36 PM
14,10/16/20 7:47 AM,10/16/20 5:36 PM
14,10/17/20 7:47 AM,10/17/20 5:36 PM
14,10/18/20 7:47 AM,10/18/20 5:36 PM
14,10/19/20 7:47 AM,10/19/20 5:36 PM
14,10/20/20 7:47 AM,10/20/20 5:36 PM
15,10/6/20 7:47 AM,10/6/20 5:36 PM
15,10/7/20 7:47 AM,10/7/20 5:36 PM
15,10/8/20 7:47 AM,10/8/20 5:36 PM
15,10/9/20 7:47 AM,10/9/20 5:36 PM
15,10/10/20 7:47 AM,10/10/20 5:36 PM
15,10/11/20 7:47 AM,10/11/20 5:36 PM
15,10/12/20 7:47 AM,10/12/20 5:36 PM
15,10/13/20 7:47 AM,10/13/20 5:36 PM
15,10/14/20 7:47 AM,10/14/20 5:36 PM
15,10/15/20 7:47 AM,10/15/20 5:36 PM
15,10/16/20 7:47 AM,10/16/20 5:36 PM
15,10/17/20 7:47 AM,10/17/20 5:36 PM
15,10/18/20 7:47 AM,10/18/20 5:36 PM
15,10/19/20 7:47 AM,10/19/20 5:36 PM
15,10/20/20 7:47 AM,10/20/20 5:36 PM
